Venue,Title,Abstract,DOI
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Where do web sites come from?: capturing and interacting with design history,"To form a deep understanding of the present; we need to ?nd and engage history. We present an informal history capture and retrieval mechanism for collaborative, early-stage information design. This history system is implemented in the context of the Designers' Outpost, a wall-scale, tangible interface for collaborative web site design. The interface elements in this history system are designed to be ?uid and comfortable for early-phase design. As demonstrated by an informal lab study with six professional designers, this history system enhances the design process itself, and provides new opportunities for reasoning about the design of complex artifacts",https://dl.acm.org/doi/10.1145/503376.503378
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,The augurscope: a mixed reality interface for outdoors,"The augurscope is a portable mixed reality interface for outdoors. A tripod-mounted display is wheeled to different locations and rotated and tilted to view a virtual environment that is aligned with the physical background. Video from an onboard camera is embedded into this virtual environment. Our design encompasses physical form, interaction and the combination of a GPS receiver, electronic compass, accelerometer and rotary encoder for tracking. An initial application involves the public exploring a medieval castle from the site of its modern replacement. Analysis of use reveals problems with lighting, movement and relating virtual and physical viewpoints, and shows how environmental factors and physical form affect interaction. We suggest that problems might be accommodated by carefully constructing virtual and physical content",https://dl.acm.org/doi/10.1145/503376.503379
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,"Movement model, hits distribution and learning in virtual keyboarding","In a ten-session experiment, six participants practiced typing with an expanding rehearsal method on an optimized virtual keyboard. Based on a large amount of in-situ performance data, this paper reports the following findings. First, the Fitts-digraph movement efficiency model of virtual keyboards is revised. The format and parameters of Fitts' law used previously in virtual keyboards research were incorrect. Second, performance limit predictions of various layouts are calculated with the new model. Third, learning with expanding rehearsal intervals for maximum memory benefits is effective, but many improvements of the training algorithm used can be made in the future. Finally, increased visual load when typing previously practiced text did not significantly change users' performance at this stage of learning, but typing unpracticed text did have a performance effect, suggesting a certain degree of text specific learning when typing on virtual keyboards",https://dl.acm.org/doi/10.1145/503376.503381
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Comparison of two touchpad-based methods for numeric entry,Small hand-held touchpads can be used to replace stylus-based digitizing tablets when the use of a stylus is not convenient. In text entry tasks where the writing surface is held in a hand the error rate becomes a problem. The small size of strokes compared to the width of the fingertip and the additional imprecision caused by the interaction of the pad and finger movements make input very imprecise. We describe a new improved clock-face based stroke system for entering numbers with a touchpad. In a 20-session user study with 6 users we found slightly better throughput of successfully entered numbers with the proposed new system. This advantage was mainly due to lower error rate with the new system. User preference similarly slightly favored the new system over an earlier straightforward proposal based on the clock metaphor,https://dl.acm.org/doi/10.1145/503376.503382
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Interacting at a distance: measuring the performance of laser pointers and other devices,"It is difficult to interact with computer displays that are across the room. A popular approach is to use laser pointers tracked by a camera, but interaction techniques using laser pointers tend to be imprecise, error-prone, and slow. Although many previous papers discuss laser pointer interaction techniques, none seem to have performed user studies to help inform the design. This paper reports on two studies of laser pointer interactions that answer some of the questions related to interacting with objects using a laser pointer. The first experiment evaluates various parameters of laser pointers. For example, the time to acquire a target is about 1 second, and the jitter due to hand unsteadiness is about ±8 pixels, which can be reduced to about ±2 to ±4 pixels by filtering. We compared 7 different ways to hold various kinds of laser pointers, and found that a laser pointer built into a PalmOS device was the most stable. The second experiment compared 4 different ways to select objects on a large projected display. We found that tapping directly on a wall-size SmartBoard was the fastest and most accurate method, followed by a new interaction technique that copies the area of interest from the big screen to a handheld. Third in speed was the conventional mouse, and the laser pointer came in last, with a time almost twice as long as tapping on the SmartBoard",https://dl.acm.org/doi/10.1145/503376.503383
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Messages embedded in gaze of interface agents --- impression management with agent's gaze,"We propose a gaze movement model that enables an embodied interface agent to convey different impressions to users. Managing one's own impression to influence the behaviors of others plays an important role in human communications. To create a new application area which involves agents in this kind of social interaction, interface agents that manage their impressions are required. For this purpose, we build the gaze movement model based on three gaze parameters picked from a large number of psychological studies: <i>amount of gaze</i>, <i>mean duration of gaze</i>, and <i>gaze points while averted</i>. In this paper, we introduce the gaze movement model and gaze parameters. We then present an experiment in which subjects evaluated the impressions created by nine gaze patterns produced by altering the gaze parameters. The results indicate that reproducible relations exist between the gaze parameters and impressions, which shows the validity of the model",https://dl.acm.org/doi/10.1145/503376.503385
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Leveraging the asymmetric sensitivity of eye contact for videoconference,"Eye contact is a natural and often essential element in the language of visual communication. Unfortunately, perceiving eye contact is difficult in most video-conferencing systems and hence limits their effectiveness. We conducted experiments to determine how accurately people perceive eye contact. We discovered that the sensitivity to eye contact is asymmetric, in that we are an order of magnitude less sensitive to eye contact when people look below our eyes than when they look to the left, right, or above our eyes. Additional experiments support a theory that people are prone to perceive eye contact, that is, we will think that someone is making eye contact with us unless we are certain that the person is not looking into our eyes. These experimental results suggest parameters for the design of videoconferencing systems. As a demonstration, we were able to construct from commodity components a simple dyadic videoconferencing prototype that supports eye contact",https://dl.acm.org/doi/10.1145/503376.503386
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Acquisition of expanding targets,"There exist several user interface widgets that dynamically grow in size in response to the user's focus of attention. Some of these, such as icons in toolbars, expand to facilitate their selection - allowing for a reduced initial size in an attempt to optimize screen space use. However, selection performance may be degraded by this decreased initial widget size. We describe an experiment which explores the effects of varying parameters of expansion techniques in a selection task. Our results suggest that Fitts' law can model and predict performance in such tasks. They also indicate that performance is governed by the target's <i>final</i> size, not its initial one. Further, performance is dependent on the target's final size even when the target only begins expanding as late as after 90% of the movement towards the target has already been completed. These results indicate that expanding widgets can be used without sacrificing performance",https://dl.acm.org/doi/10.1145/503376.503388
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,Quantitative analysis of scrolling techniques,"We propose a formal experimental paradigm designed to help evaluate scrolling interaction techniques. Such a method is needed by interaction designers to quantify scrolling performance, thereby providing a tool to evaluate and improve upon new techniques. We systematically vary the scrolling <i>distance</i> as well as the required <i>tolerance</i> of scrolling. Distance and tolerance are the parameters of Fitts' Law, which traditionally has been applied to the evaluation of pointing devices in tasks involving rapid, aimed movement to visible targets. Scrolling involves acquisition of targets well beyond the edges of the screen, yet Fitts' Law models our experimental data very wellWe apply our paradigm to the IBM ScrollPoint and the IntelliMouse Wheel. Our experimental approach reveals a crossover effect in performance versus distance, with the Wheel performing best at short distances but the ScrollPoint performing best at long distances. We also demonstrate that the performance of the Wheel can be significantly improved using an acceleration algorithm. These results show that our approach yields a practical and rigorous method for the evaluation of scrolling techniques.",https://dl.acm.org/doi/10.1145/503376.503389
CHI '02: Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,More than dotting the i's --- foundations for crossing-based interfaces,"Today's graphical interactive systems largely depend upon pointing actions, i.e. entering an object and selecting it. In this paper we explore whether an alternate paradigm --- crossing boundaries --- may substitute or complement pointing as another fundamental interaction method. We describe an experiment in which we systematically evaluate two target-pointing tasks and four goal-crossing tasks, which differ by the direction of the movement variability constraint (collinear vs. orthogonal) and by the nature of the action (pointing vs. crossing, discrete vs. continuous). We found that participants' temporal performance in each of the six tasks was dependent on the index of difficulty formulated in the same way as in Fitts' law, but that the parameters differ by task. We also found that goal crossing completion time was shorter or no longer than pointing performance under the same index of difficulty. These regularities, as well as qualitative characterizations of crossing actions and their application in HCI, lay the foundation for designing crossing-based user interfaces",https://dl.acm.org/doi/10.1145/503376.503390
